system:index,elevation,point_id,.geo
00000000000000000062_0,68,98.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.226844503185106,41.44664942103374]}"
00000000000000000345_0,245,837.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.222802084406567,41.48114472794393]}"
000000000000000001c6_0,6,454.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.203128979684351,41.406494727833596]}"
00000000000000000009_0,115,9.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1802219399393152,41.449613861471335]}"
00000000000000000189_0,174,393.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.11419576655652,41.45823768819888]}"
000000000000000003a9_0,34,937.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.138989268398234,41.37792830179859]}"
0000000000000000035d_0,152,861.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0966786185161936,41.490846533012416]}"
00000000000000000290_0,23,656.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.055715441560352,41.36957396965629]}"
0000000000000000033f_0,125,831.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1284789795740267,41.402182814469825]}"
0000000000000000033c_0,72,828.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.183455874962135,41.48222270628487]}"
00000000000000000162_0,6,354.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0926361997376546,41.34154653279175]}"
000000000000000000ac_0,110,172.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.291792698226942,41.495158446376195]}"
00000000000000000336_0,14,822.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0896717593000744,41.34289400571794]}"
000000000000000001df_0,10,479.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2287309652817555,41.428593283822934]}"
0000000000000000024e_0,86,590.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0673037087254897,41.38062324765095]}"
00000000000000000068_0,196,104.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1098838531927413,41.39894887944699]}"
000000000000000002a9_0,171,681.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.050864539026094,41.40514725490742]}"
00000000000000000079_0,238,121.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.135485838790146,41.42428137045916]}"
000000000000000003e5_0,127,997.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.088054791788636,41.4674005040969]}"
000000000000000002f0_0,16,752.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.027149015525339,41.37065194799723]}"
000000000000000001ba_0,192,442.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.054637463219393,41.40326079281077]}"
000000000000000001fc_0,30,508.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1799524453540755,41.383048698918074]}"
0000000000000000032a_0,321,810.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1344078604492154,41.44880537771563]}"
00000000000000000026_0,110,38.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.154350459756671,41.42778480006723]}"
000000000000000002a0_0,197,672.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0355033476676567,41.43856458347666]}"
0000000000000000009e_0,221,158.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1535419760009518,41.4463799264485]}"
0000000000000000028c_0,125,652.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1694421565298683,41.4568902152727]}"
000000000000000002b7_0,332,695.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1203941420169485,41.43101873509006]}"
000000000000000002d3_0,43,723.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.093175188908134,41.36553155087775]}"
000000000000000002e6_0,168,742.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.287750279448403,41.492732995109066]}"
000000000000000000bb_0,2,187.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0627223007764712,41.34100754362128]}"
00000000000000000187_0,58,391.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0621833116059918,41.37172992633817]}"
000000000000000003c0_0,4,960.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0632612899469507,41.32618534143331]}"
000000000000000000d2_0,135,210.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1567759110238,41.43964256181761]}"
000000000000000002ec_0,141,748.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1691726619446285,41.4170050166578]}"
00000000000000000049_0,229,73.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1365638171311048,41.42940176757864]}"
000000000000000002a8_0,131,680.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1567759110238,41.47898877126204]}"
00000000000000000273_0,173,627.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.143031687176773,41.41862198416921]}"
000000000000000003ae_0,431,942.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.118238185335059,41.418891478754446]}"
00000000000000000146_0,372,326.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.118507679920299,41.42913227299341]}"
00000000000000000095_0,9,149.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.098026091442364,41.34451097322935]}"
00000000000000000390_0,252,912.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1082668856813314,41.43964256181761]}"
000000000000000000e0_0,250,224.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.095600640175263,41.39706241735034]}"
00000000000000000105_0,16,261.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.20582392553672,41.437217110550485]}"
00000000000000000092_0,11,146.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.198817066320572,41.38978606354897]}"
00000000000000000359_0,285,857.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1400672467391644,41.44233750766996]}"
00000000000000000015_0,21,21.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1759100265755364,41.37819779638383]}"
0000000000000000003e_0,317,62.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0910192322262446,41.408381189930246]}"
00000000000000000100_0,106,256.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.032538907230048,41.40945916827119]}"
00000000000000000117_0,192,279.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2238800627475257,41.47548534165398]}"
00000000000000000123_0,295,291.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1171602069941287,41.41377108163496]}"
0000000000000000012d_0,155,301.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0621833116059918,41.4636275799036]}"
000000000000000001c5_0,130,453.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1260535283068975,41.47305989038685]}"
00000000000000000291_0,17,657.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.256758402146289,41.45769869902841]}"
000000000000000001fd_0,82,509.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1678251890184583,41.43479165928336]}"
000000000000000000bc_0,16,188.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.199895044661531,41.41619653290209]}"
00000000000000000188_0,126,392.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.094792156419544,41.48707360881912]}"
0000000000000000018f_0,156,399.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.129556957914957,41.466322525755956]}"
0000000000000000006c_0,142,108.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1066499181699214,41.472251406631145]}"
00000000000000000097_0,12,151.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.02445406967297,41.30974617173392]}"
000000000000000003b0_0,162,944.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.032269412644837,41.45500375317605]}"
000000000000000001be_0,9,446.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.058679881997932,41.333731189819915]}"
000000000000000002af_0,43,687.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2120223009971482,41.449613861471335]}"
000000000000000000e7_0,162,231.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0400847556166752,41.42320339211822]}"
00000000000000000257_0,157,599.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1408757304948836,41.40892017910072]}"
0000000000000000015d_0,127,349.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1478825897110028,41.41134563036784]}"
0000000000000000011a_0,13,282.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.119855152846469,41.34909238117836]}"
00000000000000000219_0,189,537.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.144648654688183,41.439103572647134]}"
000000000000000000a5_0,10,165.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.041971217713325,41.32510736309237]}"
00000000000000000253_0,143,595.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.103146488561862,41.4921940059386]}"
0000000000000000035a_0,356,858.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1252450445512068,41.42428137045916]}"
00000000000000000073_0,302,115.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.106110928999442,41.43964256181761]}"
00000000000000000216_0,13,534.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2063629147071993,41.424820359629635]}"
000000000000000002a6_0,54,678.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.164052264825159,41.4884210817453]}"
00000000000000000217_0,220,535.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1513860193190624,41.451500323567984]}"
000000000000000002c0_0,181,704.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1400672467391644,41.42320339211822]}"
000000000000000002d1_0,7,721.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1888457666668444,41.38412667725902]}"
000000000000000002da_0,69,730.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2737365610161646,41.476024330824444]}"
0000000000000000021e_0,17,542.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0772750083792175,41.3539432837126]}"
00000000000000000185_0,103,389.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1047634560732718,41.47548534165398]}"
0000000000000000020a_0,168,522.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.072693600430199,41.45877667736935]}"
00000000000000000264_0,8,612.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.079969954231558,41.34100754362128]}"
000000000000000000d0_0,154,208.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1357553333753856,41.41269310329402]}"
